author,title,location,relative_location,remote_url
E. M. Tappan (Eva March Tappan),The Little Book of the War,/Users/user/gut-au/ebooks20/2000411h.html,ebooks20/2000411h.html,http://gutenberg.net.au/ebooks20/2000411h.html
Baroness Orczy,Meadowsweet,/Users/user/gut-au/ebooks20/2000421h.html,ebooks20/2000421h.html,http://gutenberg.net.au/ebooks20/2000421h.html
Baroness Orczy,A Son of the People,/Users/user/gut-au/ebooks20/2000431h.html,ebooks20/2000431h.html,http://gutenberg.net.au/ebooks20/2000431h.html
Baroness Orczy,The Scarlet Pimpernel Looks at the World,/Users/user/gut-au/ebooks20/2000441h.html,ebooks20/2000441h.html,http://gutenberg.net.au/ebooks20/2000441h.html
Recorded by his daughter (Constance Campbell Petrie),Tom Petrie's Reminiscences of Early Queensland,/Users/user/gut-au/ebooks20/2000451h.html,ebooks20/2000451h.html,http://gutenberg.net.au/ebooks20/2000451h.html
Booth Tarkington,Claire Ambler,/Users/user/gut-au/ebooks20/2000461h.html,ebooks20/2000461h.html,http://gutenberg.net.au/ebooks20/2000461h.html
Emmuska Orczy writing as John Blakeney,The Life and Exploits of the Scarlet Pimpernel,/Users/user/gut-au/ebooks20/2000471h.html,ebooks20/2000471h.html,http://gutenberg.net.au/ebooks20/2000471h.html
Ernest Haycox,The Octopus of Pilgrim Valley,/Users/user/gut-au/ebooks20/2000481h.html,ebooks20/2000481h.html,http://gutenberg.net.au/ebooks20/2000481h.html
Baroness Orczy,Leatherface,/Users/user/gut-au/ebooks20/2000491h.html,ebooks20/2000491h.html,http://gutenberg.net.au/ebooks20/2000491h.html
Rex Beach,Padlocked,/Users/user/gut-au/ebooks20/2000501h.html,ebooks20/2000501h.html,http://gutenberg.net.au/ebooks20/2000501h.html
Baroness Orczy,A Sheaf of Bluebells,/Users/user/gut-au/ebooks20/2000511h.html,ebooks20/2000511h.html,http://gutenberg.net.au/ebooks20/2000511h.html
Rex Beach,The Finish,/Users/user/gut-au/ebooks20/2000521h.html,ebooks20/2000521h.html,http://gutenberg.net.au/ebooks20/2000521h.html
