title,author,full_author,full_title,url_html,url_text,url_zip,url_pdf,url_other
Mark Twain Newspaper Correspondent,Mark Twain,,,http://gutenberg.net.au/ebooks09/0900821h.html,http://gutenberg.net.au/ebooks09/0900821.txt,,,
Kif: An Unvarnished History,Josephine Tey,,,http://gutenberg.net.au/ebooks09/0900811h.html,http://gutenberg.net.au/ebooks09/0900811.txt,,,
The King's Favourite,Marjorie Bowen,,,http://gutenberg.net.au/ebooks09/0900801h.html,http://gutenberg.net.au/ebooks09/0900801.txt,,,
Forget-Me-Not,Marjorie Bowen,,,http://gutenberg.net.au/ebooks09/0900791h.html,http://gutenberg.net.au/ebooks09/0900791.txt,,,
Memoir of George Dana Boardman,Alonzo King,,,,http://gutenberg.net.au/ebooks09/0900781.txt,,,
Sketches from the Karen Hills,Alonzo Bunker,,,http://gutenberg.net.au/ebooks08/0801351h.html,,,,
The Story of a Working Man's Life,Francis Mason,,,http://gutenberg.net.au/ebooks09/0900771h.html,http://gutenberg.net.au/ebooks09/0900771.txt,,,
The Man in the Queue,Josephine Tey,,,http://gutenberg.net.au/ebooks09/0900761h.html,http://gutenberg.net.au/ebooks09/0900761.txt,,,
Lord Kitchener,G K Chesterton,,,http://gutenberg.net.au/ebooks09/0900751h.html,http://gutenberg.net.au/ebooks09/0900751.txt,,,
As I Was Saying,G K Chesterton,,,http://gutenberg.net.au/ebooks09/0900741h.html,http://gutenberg.net.au/ebooks09/0900741.txt,,,
The Sword of Wood,G K Chesterton,,,http://gutenberg.net.au/ebooks09/0900731h.html,http://gutenberg.net.au/ebooks09/0900731.txt,,,
Milton: Man and Poet,G K Chesterton,,,http://gutenberg.net.au/ebooks09/0900721h.html,http://gutenberg.net.au/ebooks09/0900721.txt,,,
The Poet and The Lunatics,G K Chesterton,,,http://gutenberg.net.au/ebooks09/0900711h.html,http://gutenberg.net.au/ebooks09/0900711.txt,,,
Cockatoos,Miles Franklin,,,http://gutenberg.net.au/ebooks09/0900701h.html,http://gutenberg.net.au/ebooks09/0900701.txt,,,
Swift and Sure,Herbert Strang,,,,http://gutenberg.net.au/ebooks09/0900691.txt,,,
Northmost Australia,Robert Logan Jack,,,http://gutenberg.net.au/ebooks06/0601141h.html,,,,
Dot and the Kangaroo,Ethel C Pedley,,,http://gutenberg.net.au/ebooks09/0900681h.html,,,,
Tiny Carteret,Sapper,,,http://gutenberg.net.au/ebooks09/0900671h.html,http://gutenberg.net.au/ebooks09/0900671.txt,,,
The Cruise of the Gyro Car,Herbert Strang,,,,http://gutenberg.net.au/ebooks09/0900661.txt,,,
Circumstantial Evidence and Other Stories,Wallace,Edgar Wallace,,http://gutenberg.net.au/ebooks09/0900651h.html,http://gutenberg.net.au/ebooks09/0900651.txt,,,
The Angel of The Desert and Other Poems,A Lady,,,,http://gutenberg.net.au/ebooks09/0900591.txt,,,
The Nine Unknown,Talbot Mundy,,,http://gutenberg.net.au/ebooks09/0900641h.html,http://gutenberg.net.au/ebooks09/0900641.txt,,,
Robert Louis Stevenson,G K Chesterton,,,http://gutenberg.net.au/ebooks09/0900631h.html,http://gutenberg.net.au/ebooks09/0900631.txt,,,
Leo Tolstoy,G K Chesterton,,,http://gutenberg.net.au/ebooks09/0900621h.html,http://gutenberg.net.au/ebooks09/0900621.txt,,,
St Francis of Assisi,G K Chesterton,,,http://gutenberg.net.au/ebooks09/0900611h.html,http://gutenberg.net.au/ebooks09/0900611.txt,,,
Mount Abundance,Allan Macpherson,,Mount Abundance: or The Experiences of a Pioneer Squatter in Australia,http://gutenberg.net.au/ebooks09/0900601h.html,http://gutenberg.net.au/ebooks09/0900601.txt,,,
The Angel of The Desert and Other Poems,A Lady,,,,http://gutenberg.net.au/ebooks09/0900591.txt,,,
The Bishop of Hell and Other Stories,M Bowen,Marjorie Bowen,,http://gutenberg.net.au/ebooks09/0900581h.html,http://gutenberg.net.au/ebooks09/0900581.txt,,,
The Last Bouquet: Some Twilight Tales,M Bowen,Marjorie Bowen,,http://gutenberg.net.au/ebooks09/0900571h.html,http://gutenberg.net.au/ebooks09/0900571.txt,,,
Collected Twilight Stories Vol. I,Marjorie Bowen,,,http://gutenberg.net.au/ebooks09/0900561h.html,http://gutenberg.net.au/ebooks09/0900561.txt,,,
The Man with the Squeaky Voice,R A J Walling,,,http://gutenberg.net.au/ebooks09/0900551h.html,http://gutenberg.net.au/ebooks09/0900551.txt,,,
Thyra: A Romance of the Polar Pit,Robert A Bennet,Robert Ames Bennet,,http://gutenberg.net.au/ebooks09/0900541h.html,http://gutenberg.net.au/ebooks09/0900541.txt,,,
Dickon,Marjorie Bowen,,,http://gutenberg.net.au/ebooks09/0900531h.html,http://gutenberg.net.au/ebooks09/0900531.txt,,,
The Mystery of Khufu's Tomb,Talbot Mundy,,,http://gutenberg.net.au/ebooks09/0900521h.html,http://gutenberg.net.au/ebooks09/0900521.txt,,,
The Passenger from Scotland Yard,H Freeman Wood,,,,http://gutenberg.net.au/ebooks09/0900511.txt,,,
Dark Rosaleen,Marjorie Bowen,,,http://gutenberg.net.au/ebooks09/0900501h.html,http://gutenberg.net.au/ebooks09/0900501.txt,,,
Self-support,C H Carpenter,,Self-support Illustrated in the History of the Bassein Karen Mission,http://gutenberg.net.au/ebooks09/0900491h.html,http://gutenberg.net.au/ebooks09/0900491.txt,,,
A Star in the East,Edward Norman Harris,,A Star in the East: American Baptist Missions to the Karens of Burma,http://gutenberg.net.au/ebooks09/0900481h.html,http://gutenberg.net.au/ebooks09/0900481.txt,,,
